                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0406,                 1.4965,                0.75637,                 1.1272,                0.81011,                0.81575,                0.86207,                0.57592,                 0.8178,                0.82369,                0.86474,                0.57582,                 1.1634,                  1.718,                0.80987,                 1.2709,               0.001491,               0.001491,               0.001491
                     34,                  1.016,                 1.4767,                0.74899,                 1.1175,                0.90541,                0.74405,                0.85517,                 0.5358,                0.90541,                0.74405,                0.85065,                0.52453,                 1.2581,                 1.9612,                0.82703,                 1.3732,              0.0014855,              0.0014855,              0.0014855
                     35,                 1.0068,                 1.4852,                0.74712,                 1.1092,                0.85071,                0.78816,                0.87118,                0.57628,                0.85691,                0.78735,                0.87824,                0.57025,                 1.2092,                 1.8132,                0.76861,                 1.3091,                0.00148,                0.00148,                0.00148
                     36,                 1.0224,                  1.449,                0.77618,                 1.1134,                0.87178,                0.82681,                 0.8766,                0.57428,                0.87987,                 0.8339,                0.88677,                0.58364,                 1.1854,                 1.7577,                0.76547,                 1.2795,              0.0014745,              0.0014745,              0.0014745
                     37,                0.99806,                 1.4542,                0.72945,                 1.1078,                 0.8112,                0.80776,                0.85671,                0.56103,                 0.8112,                0.80776,                0.85873,                 0.5709,                 1.1767,                 1.7151,                0.77634,                 1.2848,               0.001469,               0.001469,               0.001469
                     38,                 1.0226,                 1.4801,                0.74535,                 1.1227,                0.80104,                 0.7602,                0.84367,                0.56605,                0.80353,                0.72024,                0.83204,                0.56269,                 1.1597,                 1.7754,                0.78662,                  1.268,              0.0014635,              0.0014635,              0.0014635
                     39,                 1.0278,                  1.517,                0.82116,                 1.1192,                 0.8462,                0.80026,                0.88475,                0.58927,                 0.8462,                0.80026,                0.88062,                0.58724,                 1.1463,                  1.823,                0.73051,                 1.2723,               0.001458,               0.001458,               0.001458
                     40,                0.99103,                 1.4658,                0.72641,                   1.11,                0.88321,                0.77799,                0.87453,                0.57362,                0.88321,                0.77799,                0.87259,                0.57054,                 1.1722,                 1.7935,                0.70184,                 1.2745,              0.0014525,              0.0014525,              0.0014525
                     41,                 0.9812,                 1.4775,                0.70532,                 1.0928,                0.84053,                0.81114,                0.87527,                0.60757,                0.84053,                0.81114,                 0.8778,                0.61047,                 1.1107,                 1.6595,                0.75639,                 1.2281,               0.001447,               0.001447,               0.001447
                     42,                 1.0094,                 1.4451,                0.69138,                 1.1098,                0.77834,                0.72745,                0.84391,                0.54786,                0.77834,                0.72745,                0.84385,                0.54972,                 1.1365,                 1.7958,                0.86124,                 1.2494,              0.0014415,              0.0014415,              0.0014415
                     43,                0.96655,                 1.4229,                0.68038,                 1.0827,                0.76131,                0.77844,                0.84961,                0.58728,                0.77057,                0.78638,                0.85698,                0.58151,                 1.1002,                 1.6839,                0.75118,                 1.2157,               0.001436,               0.001436,               0.001436
                     44,                 1.0085,                 1.4524,                0.70364,                 1.1049,                0.84189,                0.86952,                0.91479,                0.60732,                0.84189,                0.86952,                0.91479,                 0.6149,                 1.1602,                 1.7049,                0.68196,                 1.2553,              0.0014305,              0.0014305,              0.0014305
                     45,                0.95829,                 1.3922,                0.68582,                 1.0779,                0.88854,                0.86111,                0.91685,                0.61172,                0.90393,                0.86294,                0.91902,                0.59378,                 1.1469,                 1.8128,                0.68405,                 1.2122,               0.001425,               0.001425,               0.001425
