                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.85891,                 1.2193,                0.50679,                0.96899,                0.93023,                0.90579,                0.96898,                0.72043,                0.93691,                0.91167,                0.97336,                0.71468,                0.95989,                 1.3875,                0.58796,                 1.0575,              0.0012709,              0.0012709,              0.0012709
                     74,                0.86876,                 1.2037,                0.51597,                0.97856,                0.88732,                0.93317,                0.95758,                0.69516,                0.89264,                0.93906,                0.96602,                0.68963,                 1.0745,                 1.4433,                0.57375,                 1.1023,              0.0012654,              0.0012654,              0.0012654
                     75,                  0.868,                 1.2221,                0.50137,                0.97511,                 0.9346,                0.88027,                0.95853,                0.70123,                 0.9346,                0.88027,                0.95853,                0.69474,                 1.0446,                 1.4816,                0.57596,                 1.1298,              0.0012599,              0.0012599,              0.0012599
                     76,                0.85051,                 1.2027,                0.49888,                0.97082,                 0.9017,                0.91561,                0.94796,                0.67285,                 0.9017,                0.91561,                0.94608,                0.66642,                 1.1065,                 1.4407,                0.75145,                 1.1324,              0.0012544,              0.0012544,              0.0012544
                     77,                0.87579,                  1.207,                0.50941,                0.97856,                 0.9314,                0.89398,                0.95829,                 0.6998,                0.93058,                 0.9038,                0.96366,                0.69879,                 1.0008,                 1.4333,                 0.7205,                 1.1121,              0.0012489,              0.0012489,              0.0012489
                     78,                0.86653,                 1.1959,                0.50614,                0.97237,                0.95312,                0.87439,                0.96357,                0.68896,                0.95989,                0.88027,                0.96789,                0.69245,                  1.129,                 1.4947,                0.59047,                 1.1537,              0.0012434,              0.0012434,              0.0012434
                     79,                0.84785,                  1.174,                0.50369,                 0.9737,                0.90057,                0.89125,                0.95205,                0.68394,                 0.9283,                0.87832,                0.95918,                0.69002,                 1.0711,                 1.4066,                0.64383,                  1.124,              0.0012379,              0.0012379,              0.0012379
                     80,                0.86008,                 1.1795,                0.50206,                0.97523,                0.93806,                0.89657,                0.95953,                0.69483,                0.94215,                0.90125,                0.96361,                0.69373,                 1.0998,                 1.4529,                0.67498,                 1.1174,              0.0012324,              0.0012324,              0.0012324
                     81,                0.85036,                 1.1655,                0.49467,                0.96417,                0.93574,                 0.8881,                0.96257,                0.69384,                0.94244,                0.89398,                0.96723,                0.69519,                 1.0992,                 1.5195,                0.72617,                   1.16,              0.0012269,              0.0012269,              0.0012269
                     82,                0.85261,                 1.1835,                0.49962,                 0.9647,                0.87055,                0.89813,                0.94793,                0.67734,                0.88056,                0.90779,                0.95892,                0.69141,                 1.0769,                 1.5051,                0.66886,                 1.1183,              0.0012214,              0.0012214,              0.0012214
