                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0481,                 1.6342,                0.81122,                 1.1756,                 0.7476,                0.79937,                0.80998,                0.54466,                0.74374,                0.79545,                0.80722,                0.52599,                 1.1474,                 1.8389,                0.83262,                 1.2442,              0.0011056,              0.0011056,              0.0011056
                     37,                 1.0369,                 1.6026,                0.81196,                 1.1711,                0.80609,                0.72599,                0.79461,                0.54509,                0.80609,                0.72599,                0.79461,                0.53283,                 1.1331,                 1.7004,                0.82078,                 1.2814,              0.0011015,              0.0011015,              0.0011015
                     38,                 1.0245,                 1.6213,                0.79526,                 1.1669,                0.70043,                0.79636,                0.80533,                0.56722,                0.70043,                0.79636,                0.80545,                0.54444,                 1.1195,                 1.7031,                0.92567,                 1.2633,              0.0010974,              0.0010974,              0.0010974
                     39,                 1.0198,                 1.6265,                0.79484,                 1.1592,                0.70859,                0.79147,                0.80667,                0.55863,                0.71668,                0.79973,                0.81193,                0.55439,                 1.1409,                 1.7771,                 0.8569,                 1.2676,              0.0010933,              0.0010933,              0.0010933
                     40,                 0.9814,                 1.5804,                0.77937,                 1.1359,                 0.7498,                0.71803,                0.77891,                 0.5423,                 0.7498,                0.71803,                0.77916,                0.53565,                 1.1466,                 1.8039,                 0.9276,                 1.2722,              0.0010891,              0.0010891,              0.0010891
                     41,                0.99264,                 1.5834,                0.77748,                  1.146,                0.76673,                 0.6655,                0.79078,                0.53495,                0.76673,                 0.6655,                0.79304,                0.54136,                 1.1412,                 1.7168,                 0.8622,                 1.2915,               0.001085,               0.001085,               0.001085
                     42,                0.97404,                 1.5699,                0.76943,                 1.1506,                0.72326,                0.67455,                0.71401,                0.50843,                 0.7182,                0.66671,                0.69061,                 0.4792,                 1.1169,                  1.896,                  1.049,                 1.2943,              0.0010809,              0.0010809,              0.0010809
                     43,                0.98802,                 1.5779,                0.76618,                 1.1386,                0.74697,                0.69972,                0.80439,                0.55718,                0.74697,                0.69972,                0.80204,                0.54635,                 1.0465,                  1.723,                 0.8242,                  1.235,              0.0010768,              0.0010768,              0.0010768
                     44,                0.97799,                 1.5639,                0.75855,                 1.1403,                0.73665,                 0.7376,                0.78432,                0.51622,                0.73665,                 0.7376,                0.78576,                0.50956,                 1.1792,                 1.8124,                0.97577,                 1.3458,              0.0010726,              0.0010726,              0.0010726
                     45,                0.97322,                 1.5702,                0.76183,                 1.1423,                 0.7616,                0.67344,                0.73226,                0.52141,                 0.7616,                0.67344,                0.73226,                0.51275,                 1.1668,                 1.7702,                 1.2147,                 1.2796,              0.0010685,              0.0010685,              0.0010685
                     46,                0.99127,                 1.5469,                0.76506,                 1.1478,                0.77739,                0.77089,                0.79804,                0.53452,                0.77739,                0.77089,                0.79781,                0.50972,                 1.1353,                 1.7342,                0.82551,                 1.2548,              0.0010644,              0.0010644,              0.0010644
                     47,                0.98642,                 1.5759,                0.74005,                  1.144,                0.84224,                0.69361,                0.76225,                0.51979,                0.85754,                0.68583,                0.75641,                0.50937,                 1.1019,                 1.7232,                0.90487,                 1.2821,              0.0010603,              0.0010603,              0.0010603
                     48,                 0.9484,                 1.5368,                 0.7392,                 1.1238,                0.76424,                0.78663,                0.79952,                0.55661,                0.77083,                0.79448,                0.80928,                0.53731,                 1.1716,                 1.8134,                0.78184,                 1.3027,              0.0010561,              0.0010561,              0.0010561
                     49,                0.95364,                  1.524,                0.71871,                 1.1235,                0.74869,                0.74479,                0.75717,                0.51665,                0.76369,                0.72744,                0.75289,                0.51073,                 1.1278,                 1.7222,                0.83206,                 1.2905,               0.001052,               0.001052,               0.001052
                     50,                0.94715,                 1.4963,                0.70202,                 1.1172,                0.78867,                0.70556,                0.80854,                0.56514,                0.78867,                0.70556,                0.80498,                 0.5578,                 1.1693,                 1.7929,                0.81211,                 1.3039,              0.0010479,              0.0010479,              0.0010479
